"Position","Track Name","Artist","Streams","URL","Country"
"43","Mr. Brightside","The Killers","471481","https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B","AUS"
"44","Wildest Dreams (Taylor's Version)","Taylor Swift","448202","https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL","AUS"
"45","Blinding Lights","The Weeknd","446594","https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b","AUS"
"46","Alone With You","Arz","446213","https://open.spotify.com/track/0W7brFokN6QtGRNp32RCQP","AUS"
"47","Mood (feat. iann dior)","24kGoldn","441641","https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m","AUS"
"48","Astronaut In The Ocean","Masked Wolf","440527","https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC","AUS"
"49","The Thrill","Wiz Khalifa","427867","https://open.spotify.com/track/4wqzOaLxiCRy2Et8tRyNSX","AUS"
"50","Dry","Rancid Eddie","427688","https://open.spotify.com/track/2ctj1bvKeVGfm78V9pN4CW","AUS"
"51","Someone You Loved","Lewis Capaldi","418913","https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf","AUS"
"52","I WANNA BE YOUR SLAVE","MÃ¥neskin","410879","https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk","AUS"
"53","OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry","381688","https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ","AUS"
"54","Happier Than Ever - Edit","Billie Eilish","380355","https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo","AUS"
"55","Watermelon Sugar","Harry Styles","377256","https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY","AUS"
"56","Love Again","Dua Lipa","374155","https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB","AUS"
"57","The Business","TiÃ«sto","374069","https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN","AUS"
"58","Bored","Billie Eilish","365031","https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ","AUS"
"59","Visiting Hours","Ed Sheeran","364018","https://open.spotify.com/track/44V6EzbUSYgyfsNiP0FrlA","AUS"
"60","Rasputin","Majestic","363032","https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q","AUS"
"61","Cloudy Day","Tones And I","359981","https://open.spotify.com/track/4E2rXUbcF1zhZVzNzeVPGV","AUS"
"62","deja vu","Olivia Rodrigo","349200","https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr","AUS"
"63","Moon","Kanye West","348963","https://open.spotify.com/track/2Rd4eJ4KwXQQn2sMSToyUM","AUS"
"64","Head & Heart (feat. MNEK)","Joel Corry","346880","https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9","AUS"
"65","RAPSTAR","Polo G","341940","https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg","AUS"
"66","BED","Joel Corry","341598","https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS","AUS"
"67","Don't Start Now","Dua Lipa","332624","https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62","AUS"
"68","Riptide","Vance Joy","328706","https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm","AUS"
"69","Say You Won't Let Go","James Arthur","328310","https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh","AUS"
"70","Dumb Love","Mimi Webb","320223","https://open.spotify.com/track/2Ms8MDDtYBw7M3K5F3EqPX","AUS"
"71","Your Heart","Joyner Lucas","317119","https://open.spotify.com/track/2DTpP3caqX3QdJIEoS83mD","AUS"
